,customerid,balance,numofproducts,hascrcard,tenure,isactivemember,exited,surname,creditscore,geography,gender,age,estimatedsalary,estimatedsalary_group,age_group,saving,saving_group,creditscore_group,numofproducts_scale,creditscore_scale,age_scale,gender_scale,geography_germany,geography_spain,age_group_21-23,age_group_24-32,age_group_33-44,age_group_45-60,age_group_above 60,numofproducts_2,numofproducts_3,numofproducts_4,saving_group_below 50k,saving_group_50k-100k,saving_group_100k - 150k,saving_group_150k - 200k,saving_group_above 200k,creditscore_group_650-700,creditscore_group_above 700,stay_proba,exit_proba,predicted
0,15634602,0.0,1,1,2,1,1,Hargrave,619,france,female,42,101348.88,100k - 150k,33-44,0,no saving,below 650,0.0,0.5379999999999999,0.3243243243243243,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6093413567094652,0.39065864329053474,0.0
1,15647311,83807.86,1,1,1,1,0,Hill,608,spain,female,41,112542.58,100k - 150k,33-44,1,50k-100k,below 650,0.0,0.5159999999999999,0.3108108108108108,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.6307946951854274,0.3692053048145726,0.0
2,15619304,159660.8,3,0,8,0,1,Onio,502,france,female,42,113931.57,100k - 150k,33-44,1,150k - 200k,below 650,0.6666666666666667,0.30399999999999994,0.3243243243243243,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.04837555161119811,0.9516244483888019,1.0
3,15701354,0.0,2,0,1,0,0,Boni,699,france,female,39,93826.63,50k - 100k,33-44,0,no saving,650-700,0.3333333333333333,0.6980000000000001,0.2837837837837838,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.7576082387799753,0.24239176122002473,0.0
4,15737888,125510.82,1,1,2,1,0,Mitchell,850,spain,female,43,79084.1,50k - 100k,33-44,1,100k - 150k,above 700,0.0,0.9999999999999999,0.3378378378378379,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.5669656107463672,0.43303438925363286,0.0
5,15574012,113755.78,2,0,8,0,1,Chu,645,spain,male,44,149756.71,100k - 150k,33-44,1,100k - 150k,below 650,0.3333333333333333,0.59,0.35135135135135137,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.7994881066096846,0.20051189339031544,0.0
6,15592531,0.0,2,1,7,1,0,Bartlett,822,france,male,50,10062.8,1k-20k,45-60,0,no saving,above 700,0.3333333333333333,0.9440000000000001,0.4324324324324324,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.6940362429469951,0.305963757053005,0.0
7,15656148,115046.74,4,0,4,0,1,Obinna,376,germany,female,29,119346.88,100k - 150k,24-32,1,100k - 150k,below 650,1.0,0.051999999999999935,0.14864864864864863,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.021061571523340095,0.9789384284766599,1.0
8,15792365,142051.07,2,1,4,1,0,He,501,france,male,44,74940.5,50k - 100k,33-44,1,100k - 150k,below 650,0.3333333333333333,0.30199999999999994,0.35135135135135137,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.9179531763179242,0.08204682368207583,0.0
9,15592389,134603.88,1,1,2,1,0,H?,684,france,male,27,71725.73,50k - 100k,24-32,1,100k - 150k,650-700,0.0,0.668,0.12162162162162166,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.8720925363130526,0.12790746368694741,0.0
10,15767821,102016.72,2,0,6,0,0,Bearce,528,france,male,31,80181.12,50k - 100k,24-32,1,100k - 150k,below 650,0.3333333333333333,0.356,0.1756756756756757,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.9128541420766494,0.08714585792335065,0.0
11,15737173,0.0,2,0,3,0,0,Andrews,497,spain,male,24,76390.01,50k - 100k,24-32,0,no saving,below 650,0.3333333333333333,0.29399999999999993,0.08108108108108109,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8999694678349072,0.10003053216509288,0.0
12,15632264,0.0,2,0,10,0,0,Kay,476,france,female,34,26260.98,20k-50k,33-44,0,no saving,below 650,0.3333333333333333,0.252,0.21621621621621623,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.7142210021821096,0.28577899781789046,0.0
13,15691483,0.0,2,0,5,0,0,Chin,549,france,female,25,190857.79,150k - 200k,24-32,0,no saving,below 650,0.3333333333333333,0.398,0.09459459459459457,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.85171591531337,0.14828408468663,0.0
14,15600882,0.0,2,1,7,1,0,Scott,635,spain,female,35,65951.65,50k - 100k,33-44,0,no saving,below 650,0.3333333333333333,0.57,0.22972972972972977,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.8509052240670092,0.1490947759329908,0.0
15,15643966,143129.41,2,1,3,1,0,Goforth,616,germany,male,45,64327.26,50k - 100k,45-60,1,100k - 150k,below 650,0.3333333333333333,0.5319999999999999,0.36486486486486486,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.4692899727068959,0.5307100272931041,0.0
16,15737452,132602.88,1,0,1,0,1,Romeo,653,germany,male,58,5097.67,1k-20k,45-60,1,100k - 150k,650-700,0.0,0.606,0.5405405405405406,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.08325568812765771,0.9167443118723423,1.0
